Consumer;Liking;Barley;Salt;Sex;Age;WB;BB;Edu;Health
12.0;6.0;1.0;1.0;1.0;3.0;5.0;1.0;3.0;9.0
12.0;7.0;1.0;2.0;1.0;3.0;5.0;1.0;3.0;9.0
12.0;8.0;2.0;1.0;1.0;3.0;5.0;1.0;3.0;9.0
12.0;2.0;2.0;2.0;1.0;3.0;5.0;1.0;3.0;9.0
13.0;4.0;1.0;1.0;1.0;1.0;4.0;1.0;4.0;8.0
13.0;4.0;1.0;2.0;1.0;1.0;4.0;1.0;4.0;8.0
13.0;7.0;2.0;1.0;1.0;1.0;4.0;1.0;4.0;8.0
13.0;7.0;2.0;2.0;1.0;1.0;4.0;1.0;4.0;8.0
14.0;7.0;1.0;1.0;1.0;2.0;3.0;1.0;3.0;9.0
14.0;5.0;1.0;2.0;1.0;2.0;3.0;1.0;3.0;9.0
14.0;5.0;2.0;1.0;1.0;2.0;3.0;1.0;3.0;9.0
14.0;5.0;2.0;2.0;1.0;2.0;3.0;1.0;3.0;9.0
15.0;8.0;1.0;1.0;2.0;3.0;4.0;1.0;4.0;8.0
15.0;3.0;1.0;2.0;2.0;3.0;4.0;1.0;4.0;8.0
15.0;2.0;2.0;1.0;2.0;3.0;4.0;1.0;4.0;8.0
15.0;4.0;2.0;2.0;2.0;3.0;4.0;1.0;4.0;8.0
16.0;8.0;1.0;1.0;1.0;2.0;5.0;2.0;2.0;8.0
16.0;9.0;1.0;2.0;1.0;2.0;5.0;2.0;2.0;8.0
16.0;7.0;2.0;1.0;1.0;2.0;5.0;2.0;2.0;8.0
16.0;7.0;2.0;2.0;1.0;2.0;5.0;2.0;2.0;8.0
17.0;9.0;1.0;1.0;1.0;2.0;5.0;1.0;1.0;9.0
17.0;8.0;1.0;2.0;1.0;2.0;5.0;1.0;1.0;9.0
17.0;5.0;2.0;1.0;1.0;2.0;5.0;1.0;1.0;9.0
17.0;6.0;2.0;2.0;1.0;2.0;5.0;1.0;1.0;9.0
18.0;9.0;1.0;1.0;1.0;3.0;4.0;1.0;3.0;8.0
18.0;9.0;1.0;2.0;1.0;3.0;4.0;1.0;3.0;8.0
18.0;4.0;2.0;1.0;1.0;3.0;4.0;1.0;3.0;8.0
18.0;5.0;2.0;2.0;1.0;3.0;4.0;1.0;3.0;8.0
19.0;7.0;1.0;1.0;1.0;2.0;5.0;1.0;4.0;9.0
19.0;7.0;1.0;2.0;1.0;2.0;5.0;1.0;4.0;9.0
19.0;3.0;2.0;1.0;1.0;2.0;5.0;1.0;4.0;9.0
19.0;3.0;2.0;2.0;1.0;2.0;5.0;1.0;4.0;9.0
20.0;5.0;1.0;1.0;1.0;2.0;4.0;1.0;3.0;9.0
20.0;2.0;1.0;2.0;1.0;2.0;4.0;1.0;3.0;9.0
20.0;7.0;2.0;1.0;1.0;2.0;4.0;1.0;3.0;9.0
20.0;4.0;2.0;2.0;1.0;2.0;4.0;1.0;3.0;9.0
21.0;1.0;1.0;1.0;1.0;1.0;4.0;1.0;3.0;9.0
21.0;6.0;1.0;2.0;1.0;1.0;4.0;1.0;3.0;9.0
21.0;9.0;2.0;1.0;1.0;1.0;4.0;1.0;3.0;9.0
21.0;8.0;2.0;2.0;1.0;1.0;4.0;1.0;3.0;9.0
22.0;6.0;1.0;1.0;NA;NA;NA;NA;NA;NA
22.0;5.0;1.0;2.0;NA;NA;NA;NA;NA;NA
22.0;6.0;2.0;1.0;NA;NA;NA;NA;NA;NA
22.0;4.0;2.0;2.0;NA;NA;NA;NA;NA;NA
23.0;9.0;1.0;1.0;1.0;4.0;5.0;1.0;1.0;9.0
23.0;8.0;1.0;2.0;1.0;4.0;5.0;1.0;1.0;9.0
23.0;2.0;2.0;1.0;1.0;4.0;5.0;1.0;1.0;9.0
23.0;4.0;2.0;2.0;1.0;4.0;5.0;1.0;1.0;9.0
24.0;9.0;1.0;1.0;1.0;3.0;2.0;2.0;2.0;7.0
24.0;9.0;1.0;2.0;1.0;3.0;2.0;2.0;2.0;7.0
24.0;6.0;2.0;1.0;1.0;3.0;2.0;2.0;2.0;7.0
24.0;7.0;2.0;2.0;1.0;3.0;2.0;2.0;2.0;7.0
25.0;2.0;1.0;1.0;2.0;2.0;1.0;1.0;3.0;7.0
25.0;2.0;1.0;2.0;2.0;2.0;1.0;1.0;3.0;7.0
25.0;7.0;2.0;1.0;2.0;2.0;1.0;1.0;3.0;7.0
25.0;6.0;2.0;2.0;2.0;2.0;1.0;1.0;3.0;7.0
26.0;9.0;1.0;1.0;2.0;5.0;2.0;5.0;1.0;5.0
26.0;6.0;1.0;2.0;2.0;5.0;2.0;5.0;1.0;5.0
26.0;9.0;2.0;1.0;2.0;5.0;2.0;5.0;1.0;5.0
26.0;9.0;2.0;2.0;2.0;5.0;2.0;5.0;1.0;5.0
27.0;5.0;1.0;1.0;1.0;2.0;5.0;5.0;3.0;7.0
27.0;5.0;1.0;2.0;1.0;2.0;5.0;5.0;3.0;7.0
27.0;8.0;2.0;1.0;1.0;2.0;5.0;5.0;3.0;7.0
27.0;8.0;2.0;2.0;1.0;2.0;5.0;5.0;3.0;7.0
28.0;6.0;1.0;1.0;1.0;2.0;5.0;3.0;3.0;5.0
28.0;7.0;1.0;2.0;1.0;2.0;5.0;3.0;3.0;5.0
28.0;5.0;2.0;1.0;1.0;2.0;5.0;3.0;3.0;5.0
28.0;4.0;2.0;2.0;1.0;2.0;5.0;3.0;3.0;5.0
29.0;NA;1.0;1.0;NA;NA;NA;NA;NA;NA
29.0;NA;1.0;2.0;NA;NA;NA;NA;NA;NA
29.0;9.0;2.0;1.0;NA;NA;NA;NA;NA;NA
29.0;NA;2.0;2.0;NA;NA;NA;NA;NA;NA
30.0;9.0;1.0;1.0;1.0;3.0;3.0;1.0;2.0;9.0
30.0;9.0;1.0;2.0;1.0;3.0;3.0;1.0;2.0;9.0
30.0;8.0;2.0;1.0;1.0;3.0;3.0;1.0;2.0;9.0
30.0;8.0;2.0;2.0;1.0;3.0;3.0;1.0;2.0;9.0
31.0;9.0;1.0;1.0;2.0;4.0;2.0;3.0;2.0;7.0
31.0;8.0;1.0;2.0;2.0;4.0;2.0;3.0;2.0;7.0
31.0;1.0;2.0;1.0;2.0;4.0;2.0;3.0;2.0;7.0
31.0;5.0;2.0;2.0;2.0;4.0;2.0;3.0;2.0;7.0
32.0;7.0;1.0;1.0;2.0;2.0;5.0;1.0;2.0;9.0
32.0;6.0;1.0;2.0;2.0;2.0;5.0;1.0;2.0;9.0
32.0;6.0;2.0;1.0;2.0;2.0;5.0;1.0;2.0;9.0
32.0;3.0;2.0;2.0;2.0;2.0;5.0;1.0;2.0;9.0
33.0;9.0;1.0;1.0;1.0;3.0;4.0;1.0;2.0;9.0
33.0;NA;1.0;2.0;1.0;3.0;4.0;1.0;2.0;9.0
33.0;NA;2.0;1.0;1.0;3.0;4.0;1.0;2.0;9.0
33.0;NA;2.0;2.0;1.0;3.0;4.0;1.0;2.0;9.0
34.0;9.0;1.0;1.0;1.0;2.0;5.0;2.0;2.0;9.0
34.0;8.0;1.0;2.0;1.0;2.0;5.0;2.0;2.0;9.0
34.0;4.0;2.0;1.0;1.0;2.0;5.0;2.0;2.0;9.0
34.0;5.0;2.0;2.0;1.0;2.0;5.0;2.0;2.0;9.0
35.0;9.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;5.0
35.0;2.0;1.0;2.0;1.0;1.0;3.0;3.0;3.0;5.0
35.0;3.0;2.0;1.0;1.0;1.0;3.0;3.0;3.0;5.0
35.0;3.0;2.0;2.0;1.0;1.0;3.0;3.0;3.0;5.0
36.0;8.0;1.0;1.0;1.0;2.0;5.0;1.0;2.0;9.0
36.0;7.0;1.0;2.0;1.0;2.0;5.0;1.0;2.0;9.0
36.0;6.0;2.0;1.0;1.0;2.0;5.0;1.0;2.0;9.0
36.0;3.0;2.0;2.0;1.0;2.0;5.0;1.0;2.0;9.0
37.0;7.0;1.0;1.0;1.0;2.0;1.0;2.0;3.0;9.0
37.0;3.0;1.0;2.0;1.0;2.0;1.0;2.0;3.0;9.0
37.0;6.0;2.0;1.0;1.0;2.0;1.0;2.0;3.0;9.0
37.0;9.0;2.0;2.0;1.0;2.0;1.0;2.0;3.0;9.0
38.0;9.0;1.0;1.0;1.0;2.0;5.0;1.0;2.0;9.0
38.0;9.0;1.0;2.0;1.0;2.0;5.0;1.0;2.0;9.0
38.0;5.0;2.0;1.0;1.0;2.0;5.0;1.0;2.0;9.0
38.0;4.0;2.0;2.0;1.0;2.0;5.0;1.0;2.0;9.0
39.0;7.0;1.0;1.0;1.0;2.0;5.0;2.0;3.0;9.0
39.0;9.0;1.0;2.0;1.0;2.0;5.0;2.0;3.0;9.0
39.0;8.0;2.0;1.0;1.0;2.0;5.0;2.0;3.0;9.0
39.0;9.0;2.0;2.0;1.0;2.0;5.0;2.0;3.0;9.0
40.0;3.0;1.0;1.0;2.0;2.0;5.0;1.0;4.0;7.0
40.0;4.0;1.0;2.0;2.0;2.0;5.0;1.0;4.0;7.0
40.0;5.0;2.0;1.0;2.0;2.0;5.0;1.0;4.0;7.0
40.0;4.0;2.0;2.0;2.0;2.0;5.0;1.0;4.0;7.0
41.0;8.0;1.0;1.0;2.0;3.0;2.0;3.0;2.0;5.0
41.0;2.0;1.0;2.0;2.0;3.0;2.0;3.0;2.0;5.0
41.0;4.0;2.0;1.0;2.0;3.0;2.0;3.0;2.0;5.0
41.0;4.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;5.0
42.0;7.0;1.0;1.0;1.0;3.0;5.0;1.0;2.0;9.0
42.0;7.0;1.0;2.0;1.0;3.0;5.0;1.0;2.0;9.0
42.0;4.0;2.0;1.0;1.0;3.0;5.0;1.0;2.0;9.0
42.0;3.0;2.0;2.0;1.0;3.0;5.0;1.0;2.0;9.0
43.0;8.0;1.0;1.0;1.0;3.0;5.0;1.0;2.0;9.0
43.0;3.0;1.0;2.0;1.0;3.0;5.0;1.0;2.0;9.0
43.0;8.0;2.0;1.0;1.0;3.0;5.0;1.0;2.0;9.0
43.0;8.0;2.0;2.0;1.0;3.0;5.0;1.0;2.0;9.0
44.0;8.0;1.0;1.0;1.0;4.0;5.0;1.0;4.0;9.0
44.0;8.0;1.0;2.0;1.0;4.0;5.0;1.0;4.0;9.0
44.0;7.0;2.0;1.0;1.0;4.0;5.0;1.0;4.0;9.0
44.0;7.0;2.0;2.0;1.0;4.0;5.0;1.0;4.0;9.0
45.0;4.0;1.0;1.0;2.0;5.0;4.0;1.0;NA;4.0
45.0;6.0;1.0;2.0;2.0;5.0;4.0;1.0;NA;4.0
45.0;6.0;2.0;1.0;2.0;5.0;4.0;1.0;NA;4.0
45.0;6.0;2.0;2.0;2.0;5.0;4.0;1.0;NA;4.0
46.0;8.0;1.0;1.0;1.0;2.0;4.0;1.0;2.0;7.0
46.0;8.0;1.0;2.0;1.0;2.0;4.0;1.0;2.0;7.0
46.0;6.0;2.0;1.0;1.0;2.0;4.0;1.0;2.0;7.0
46.0;5.0;2.0;2.0;1.0;2.0;4.0;1.0;2.0;7.0
47.0;8.0;1.0;1.0;1.0;4.0;4.0;1.0;3.0;7.0
47.0;8.0;1.0;2.0;1.0;4.0;4.0;1.0;3.0;7.0
47.0;5.0;2.0;1.0;1.0;4.0;4.0;1.0;3.0;7.0
47.0;4.0;2.0;2.0;1.0;4.0;4.0;1.0;3.0;7.0
48.0;6.0;1.0;1.0;2.0;3.0;1.0;1.0;NA;6.0
48.0;5.0;1.0;2.0;2.0;3.0;1.0;1.0;NA;6.0
48.0;4.0;2.0;1.0;2.0;3.0;1.0;1.0;NA;6.0
48.0;3.0;2.0;2.0;2.0;3.0;1.0;1.0;NA;6.0
49.0;8.0;1.0;1.0;NA;NA;NA;NA;NA;NA
49.0;7.0;1.0;2.0;NA;NA;NA;NA;NA;NA
49.0;6.0;2.0;1.0;NA;NA;NA;NA;NA;NA
49.0;4.0;2.0;2.0;NA;NA;NA;NA;NA;NA
50.0;9.0;1.0;1.0;1.0;1.0;4.0;2.0;3.0;9.0
50.0;8.0;1.0;2.0;1.0;1.0;4.0;2.0;3.0;9.0
50.0;8.0;2.0;1.0;1.0;1.0;4.0;2.0;3.0;9.0
50.0;1.0;2.0;2.0;1.0;1.0;4.0;2.0;3.0;9.0
51.0;8.0;1.0;1.0;1.0;2.0;1.0;3.0;4.0;9.0
51.0;1.0;1.0;2.0;1.0;2.0;1.0;3.0;4.0;9.0
51.0;9.0;2.0;1.0;1.0;2.0;1.0;3.0;4.0;9.0
51.0;3.0;2.0;2.0;1.0;2.0;1.0;3.0;4.0;9.0
52.0;7.0;1.0;1.0;1.0;3.0;5.0;1.0;2.0;1.0
52.0;1.0;1.0;2.0;1.0;3.0;5.0;1.0;2.0;1.0
52.0;5.0;2.0;1.0;1.0;3.0;5.0;1.0;2.0;1.0
52.0;1.0;2.0;2.0;1.0;3.0;5.0;1.0;2.0;1.0
53.0;8.0;1.0;1.0;1.0;1.0;5.0;1.0;3.0;7.0
53.0;7.0;1.0;2.0;1.0;1.0;5.0;1.0;3.0;7.0
53.0;5.0;2.0;1.0;1.0;1.0;5.0;1.0;3.0;7.0
53.0;4.0;2.0;2.0;1.0;1.0;5.0;1.0;3.0;7.0
54.0;7.0;1.0;1.0;1.0;2.0;5.0;4.0;4.0;9.0
54.0;7.0;1.0;2.0;1.0;2.0;5.0;4.0;4.0;9.0
54.0;3.0;2.0;1.0;1.0;2.0;5.0;4.0;4.0;9.0
54.0;5.0;2.0;2.0;1.0;2.0;5.0;4.0;4.0;9.0
55.0;7.0;1.0;1.0;1.0;2.0;5.0;1.0;3.0;7.0
55.0;7.0;1.0;2.0;1.0;2.0;5.0;1.0;3.0;7.0
55.0;6.0;2.0;1.0;1.0;2.0;5.0;1.0;3.0;7.0
55.0;6.0;2.0;2.0;1.0;2.0;5.0;1.0;3.0;7.0
56.0;7.0;1.0;1.0;1.0;3.0;5.0;1.0;3.0;9.0
56.0;7.0;1.0;2.0;1.0;3.0;5.0;1.0;3.0;9.0
56.0;3.0;2.0;1.0;1.0;3.0;5.0;1.0;3.0;9.0
56.0;5.0;2.0;2.0;1.0;3.0;5.0;1.0;3.0;9.0
57.0;2.0;1.0;1.0;2.0;4.0;5.0;1.0;4.0;9.0
57.0;2.0;1.0;2.0;2.0;4.0;5.0;1.0;4.0;9.0
57.0;2.0;2.0;1.0;2.0;4.0;5.0;1.0;4.0;9.0
57.0;9.0;2.0;2.0;2.0;4.0;5.0;1.0;4.0;9.0
58.0;9.0;1.0;1.0;1.0;2.0;5.0;1.0;2.0;5.0
58.0;5.0;1.0;2.0;1.0;2.0;5.0;1.0;2.0;5.0
58.0;5.0;2.0;1.0;1.0;2.0;5.0;1.0;2.0;5.0
58.0;5.0;2.0;2.0;1.0;2.0;5.0;1.0;2.0;5.0
59.0;9.0;1.0;1.0;1.0;3.0;5.0;1.0;2.0;1.0
59.0;9.0;1.0;2.0;1.0;3.0;5.0;1.0;2.0;1.0
59.0;6.0;2.0;1.0;1.0;3.0;5.0;1.0;2.0;1.0
59.0;6.0;2.0;2.0;1.0;3.0;5.0;1.0;2.0;1.0
60.0;9.0;1.0;1.0;1.0;2.0;5.0;1.0;1.0;1.0
60.0;9.0;1.0;2.0;1.0;2.0;5.0;1.0;1.0;1.0
60.0;2.0;2.0;1.0;1.0;2.0;5.0;1.0;1.0;1.0
60.0;5.0;2.0;2.0;1.0;2.0;5.0;1.0;1.0;1.0
61.0;6.0;1.0;1.0;1.0;3.0;4.0;2.0;2.0;8.0
61.0;4.0;1.0;2.0;1.0;3.0;4.0;2.0;2.0;8.0
61.0;2.0;2.0;1.0;1.0;3.0;4.0;2.0;2.0;8.0
61.0;2.0;2.0;2.0;1.0;3.0;4.0;2.0;2.0;8.0
62.0;9.0;1.0;1.0;1.0;3.0;5.0;2.0;1.0;9.0
62.0;9.0;1.0;2.0;1.0;3.0;5.0;2.0;1.0;9.0
62.0;9.0;2.0;1.0;1.0;3.0;5.0;2.0;1.0;9.0
62.0;6.0;2.0;2.0;1.0;3.0;5.0;2.0;1.0;9.0
63.0;5.0;1.0;1.0;1.0;4.0;3.0;2.0;3.0;5.0
63.0;4.0;1.0;2.0;1.0;4.0;3.0;2.0;3.0;5.0
63.0;8.0;2.0;1.0;1.0;4.0;3.0;2.0;3.0;5.0
63.0;7.0;2.0;2.0;1.0;4.0;3.0;2.0;3.0;5.0
64.0;9.0;1.0;1.0;1.0;2.0;5.0;1.0;4.0;8.0
64.0;8.0;1.0;2.0;1.0;2.0;5.0;1.0;4.0;8.0
64.0;6.0;2.0;1.0;1.0;2.0;5.0;1.0;4.0;8.0
64.0;6.0;2.0;2.0;1.0;2.0;5.0;1.0;4.0;8.0
65.0;7.0;1.0;1.0;2.0;3.0;5.0;1.0;4.0;6.0
65.0;8.0;1.0;2.0;2.0;3.0;5.0;1.0;4.0;6.0
65.0;5.0;2.0;1.0;2.0;3.0;5.0;1.0;4.0;6.0
65.0;4.0;2.0;2.0;2.0;3.0;5.0;1.0;4.0;6.0
66.0;6.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;8.0
66.0;8.0;1.0;2.0;1.0;2.0;1.0;1.0;2.0;8.0
66.0;7.0;2.0;1.0;1.0;2.0;1.0;1.0;2.0;8.0
66.0;8.0;2.0;2.0;1.0;2.0;1.0;1.0;2.0;8.0
67.0;2.0;1.0;1.0;1.0;1.0;1.0;4.0;2.0;9.0
67.0;1.0;1.0;2.0;1.0;1.0;1.0;4.0;2.0;9.0
67.0;5.0;2.0;1.0;1.0;1.0;1.0;4.0;2.0;9.0
67.0;7.0;2.0;2.0;1.0;1.0;1.0;4.0;2.0;9.0
68.0;1.0;1.0;1.0;1.0;1.0;4.0;1.0;4.0;4.0
68.0;4.0;1.0;2.0;1.0;1.0;4.0;1.0;4.0;4.0
68.0;2.0;2.0;1.0;1.0;1.0;4.0;1.0;4.0;4.0
68.0;7.0;2.0;2.0;1.0;1.0;4.0;1.0;4.0;4.0
69.0;4.0;1.0;1.0;1.0;2.0;5.0;2.0;3.0;5.0
69.0;8.0;1.0;2.0;1.0;2.0;5.0;2.0;3.0;5.0
69.0;7.0;2.0;1.0;1.0;2.0;5.0;2.0;3.0;5.0
69.0;6.0;2.0;2.0;1.0;2.0;5.0;2.0;3.0;5.0
70.0;8.0;1.0;1.0;NA;NA;NA;NA;NA;NA
70.0;7.0;1.0;2.0;NA;NA;NA;NA;NA;NA
70.0;9.0;2.0;1.0;NA;NA;NA;NA;NA;NA
70.0;7.0;2.0;2.0;NA;NA;NA;NA;NA;NA
71.0;8.0;1.0;1.0;2.0;3.0;1.0;2.0;NA;9.0
71.0;8.0;1.0;2.0;2.0;3.0;1.0;2.0;NA;9.0
71.0;6.0;2.0;1.0;2.0;3.0;1.0;2.0;NA;9.0
71.0;8.0;2.0;2.0;2.0;3.0;1.0;2.0;NA;9.0
72.0;7.0;1.0;1.0;1.0;2.0;5.0;2.0;3.0;6.0
72.0;6.0;1.0;2.0;1.0;2.0;5.0;2.0;3.0;6.0
72.0;8.0;2.0;1.0;1.0;2.0;5.0;2.0;3.0;6.0
72.0;8.0;2.0;2.0;1.0;2.0;5.0;2.0;3.0;6.0
73.0;8.0;1.0;1.0;1.0;2.0;5.0;1.0;3.0;8.0
73.0;6.0;1.0;2.0;1.0;2.0;5.0;1.0;3.0;8.0
73.0;9.0;2.0;1.0;1.0;2.0;5.0;1.0;3.0;8.0
73.0;7.0;2.0;2.0;1.0;2.0;5.0;1.0;3.0;8.0
74.0;8.0;1.0;1.0;1.0;1.0;5.0;2.0;3.0;6.0
74.0;2.0;1.0;2.0;1.0;1.0;5.0;2.0;3.0;6.0
74.0;6.0;2.0;1.0;1.0;1.0;5.0;2.0;3.0;6.0
74.0;4.0;2.0;2.0;1.0;1.0;5.0;2.0;3.0;6.0
75.0;2.0;1.0;1.0;2.0;2.0;5.0;1.0;2.0;1.0
75.0;1.0;1.0;2.0;2.0;2.0;5.0;1.0;2.0;1.0
75.0;3.0;2.0;1.0;2.0;2.0;5.0;1.0;2.0;1.0
75.0;1.0;2.0;2.0;2.0;2.0;5.0;1.0;2.0;1.0
76.0;8.0;1.0;1.0;1.0;2.0;5.0;1.0;2.0;6.0
76.0;6.0;1.0;2.0;1.0;2.0;5.0;1.0;2.0;6.0
76.0;7.0;2.0;1.0;1.0;2.0;5.0;1.0;2.0;6.0
76.0;3.0;2.0;2.0;1.0;2.0;5.0;1.0;2.0;6.0
77.0;9.0;1.0;1.0;1.0;1.0;5.0;3.0;3.0;9.0
77.0;1.0;1.0;2.0;1.0;1.0;5.0;3.0;3.0;9.0
77.0;7.0;2.0;1.0;1.0;1.0;5.0;3.0;3.0;9.0
77.0;9.0;2.0;2.0;1.0;1.0;5.0;3.0;3.0;9.0
78.0;7.0;1.0;1.0;1.0;3.0;5.0;2.0;2.0;8.0
78.0;8.0;1.0;2.0;1.0;3.0;5.0;2.0;2.0;8.0
78.0;3.0;2.0;1.0;1.0;3.0;5.0;2.0;2.0;8.0
78.0;4.0;2.0;2.0;1.0;3.0;5.0;2.0;2.0;8.0
79.0;7.0;1.0;1.0;1.0;2.0;4.0;2.0;4.0;5.0
79.0;7.0;1.0;2.0;1.0;2.0;4.0;2.0;4.0;5.0
79.0;5.0;2.0;1.0;1.0;2.0;4.0;2.0;4.0;5.0
79.0;4.0;2.0;2.0;1.0;2.0;4.0;2.0;4.0;5.0
80.0;4.0;1.0;1.0;1.0;3.0;3.0;2.0;2.0;9.0
80.0;3.0;1.0;2.0;1.0;3.0;3.0;2.0;2.0;9.0
80.0;4.0;2.0;1.0;1.0;3.0;3.0;2.0;2.0;9.0
80.0;3.0;2.0;2.0;1.0;3.0;3.0;2.0;2.0;9.0
81.0;8.0;1.0;1.0;2.0;1.0;4.0;2.0;4.0;9.0
81.0;8.0;1.0;2.0;2.0;1.0;4.0;2.0;4.0;9.0
81.0;6.0;2.0;1.0;2.0;1.0;4.0;2.0;4.0;9.0
81.0;3.0;2.0;2.0;2.0;1.0;4.0;2.0;4.0;9.0
82.0;6.0;1.0;1.0;1.0;2.0;4.0;2.0;4.0;9.0
82.0;8.0;1.0;2.0;1.0;2.0;4.0;2.0;4.0;9.0
82.0;6.0;2.0;1.0;1.0;2.0;4.0;2.0;4.0;9.0
82.0;4.0;2.0;2.0;1.0;2.0;4.0;2.0;4.0;9.0
83.0;9.0;1.0;1.0;2.0;1.0;5.0;1.0;4.0;7.0
83.0;9.0;1.0;2.0;2.0;1.0;5.0;1.0;4.0;7.0
83.0;7.0;2.0;1.0;2.0;1.0;5.0;1.0;4.0;7.0
83.0;7.0;2.0;2.0;2.0;1.0;5.0;1.0;4.0;7.0
84.0;8.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;5.0
84.0;8.0;1.0;2.0;1.0;1.0;3.0;3.0;3.0;5.0
84.0;5.0;2.0;1.0;1.0;1.0;3.0;3.0;3.0;5.0
84.0;7.0;2.0;2.0;1.0;1.0;3.0;3.0;3.0;5.0
85.0;7.0;1.0;1.0;1.0;3.0;2.0;3.0;2.0;9.0
85.0;9.0;1.0;2.0;1.0;3.0;2.0;3.0;2.0;9.0
85.0;7.0;2.0;1.0;1.0;3.0;2.0;3.0;2.0;9.0
85.0;5.0;2.0;2.0;1.0;3.0;2.0;3.0;2.0;9.0
86.0;8.0;1.0;1.0;1.0;3.0;5.0;2.0;3.0;9.0
86.0;4.0;1.0;2.0;1.0;3.0;5.0;2.0;3.0;9.0
86.0;4.0;2.0;1.0;1.0;3.0;5.0;2.0;3.0;9.0
86.0;6.0;2.0;2.0;1.0;3.0;5.0;2.0;3.0;9.0
87.0;7.0;1.0;1.0;2.0;3.0;5.0;2.0;4.0;9.0
87.0;5.0;1.0;2.0;2.0;3.0;5.0;2.0;4.0;9.0
87.0;3.0;2.0;1.0;2.0;3.0;5.0;2.0;4.0;9.0
